grp	day
0	kw,293,ow,23,hw,164
0	kw,480
0	kw,274,hw,206
0	kw,264,hw,28,hw,34,hw,16,hw,20,hw,18,hw,100
0	kw,287,hw,193
0	kw,178,hw,63,hw,17,hw,55,hw,167
0	kw,168,ow,312
0	kw,480
0	kw,232,hw,20,hw,228
0	kw,257,ow,223
0	kw,480
0	kw,480
0	kw,480
0	kw,181,hw,26,hw,40,hw,233
0	kw,167,ow,23,ow,72,hw,106,hw,112
0	kw,233,hw,58,hw,189
0	kw,480
0	kw,307,ow,0,ow,173
0	kw,193,ow,49,ow,238
0	kw,315,ow,165
0	kw,480
0	kw,480
0	kw,131,hw,349
0	kw,116,hw,38,hw,22,hw,304
0	kw,480
0	kw,191,ow,21,ow,78,hw,26,hw,164
0	kw,480
0	kw,136,ow,78,ow,24,ow,242
0	kw,97,ww,49,hw,68,hw,266
0	kw,480
0	kw,253,ow,29,hw,90,hw,108
0	kw,480
0	kw,480
0	kw,202,hw,34,hw,63,hw,181
0	kw,111,ow,369
0	kw,229,ow,251
0	kw,480
0	kw,480
0	kw,480
0	kw,165,hw,27,hw,47,hw,98,hw,143
0	kw,480
0	kw,251,hw,25,hw,28,hw,176
0	kw,191,ow,69,hw,220
0	kw,480
0	kw,480
0	kw,480
0	kw,232,ow,248
0	kw,317,hw,163
0	kw,480
0	kw,131,ow,349
0	kw,184,ow,119,ow,29,ow,148
0	kw,210,ww,30,ow,240
0	kw,120,ow,32,hw,85,hw,243
0	kw,215,ow,23,hw,242
0	kw,303,hw,23,hw,154
0	kw,193,ow,27,hw,260
0	kw,480
0	kw,188,hw,123,hw,169
0	kw,480
0	kw,206,hw,83,hw,191
0	kw,170,hw,29,hw,55,hw,226
0	kw,480
0	kw,227,hw,42,hw,211
0	kw,368,ow,112
0	kw,480
0	kw,247,ow,233
0	kw,480
0	kw,218,ow,49,ow,60,ow,153
0	kw,480
0	kw,248,hw,42,hw,190
0	kw,480
0	kw,169,ow,20,ow,291
0	kw,480
0	kw,170,hw,33,hw,45,hw,232
0	kw,111,hw,38,hw,17,hw,314
0	kw,203,hw,0,hw,277
0	kw,480
0	kw,122,hw,358
0	kw,294,hw,22,hw,75,hw,89
0	kw,117,ow,41,hw,322
0	kw,87,ww,38,ow,355
0	kw,375,ow,105
0	kw,204,hw,33,hw,54,hw,189
0	kw,257,hw,123,hw,100
0	kw,249,hw,37,hw,194
0	kw,141,hw,29,hw,310
0	kw,480
0	kw,216,hw,27,hw,54,hw,183
0	kw,220,hw,30,hw,230
0	kw,191,hw,24,hw,107,hw,158
0	kw,480
0	kw,313,hw,167
0	kw,480
0	kw,112,hw,78,ow,13,hw,277
0	kw,177,hw,0,hw,303
0	kw,480
0	kw,139,hw,16,hw,66,hw,67,hw,192
0	kw,173,hw,55,hw,32,hw,220
0	kw,146,hw,40,hw,294
0	kw,266,hw,214
0	kw,105,ow,24,ow,351
0	kw,480
0	kw,480
0	kw,480
0	kw,480
0	kw,145,ow,42,ow,31,hw,262
0	kw,193,ow,287
0	kw,199,ow,35,ow,246
0	kw,480
0	kw,131,ow,0,ow,349
0	kw,180,hw,30,hw,270
0	kw,299,hw,0,hw,28,hw,153
0	kw,480
0	kw,480
0	kw,122,ow,130,ow,21,ow,207
0	kw,480
0	kw,480
0	kw,480
0	kw,170,ow,36,ow,274
0	kw,480
0	kw,480
0	kw,361,ww,119
0	kw,175,ow,28,ow,165,hw,112
0	kw,301,hw,179
0	kw,198,hw,17,hw,265
0	kw,167,ow,35,hw,278
0	kw,219,ow,261
0	kw,480
0	kw,83,ww,80,ow,317
0	kw,254,hw,31,hw,81,hw,114
0	kw,480
0	kw,480
0	kw,248,hw,13,hw,19,hw,200
0	kw,332,ow,26,ow,122
0	kw,204,hw,33,hw,45,hw,30,hw,168
0	kw,480
0	kw,253,ow,27,ow,200
0	kw,480
0	kw,179,ow,49,ow,252
0	kw,214,hw,94,hw,172
0	kw,480
0	kw,268,hw,40,hw,172
0	kw,214,ow,24,ow,242
0	kw,124,ww,60,ow,53,ow,243
0	kw,225,hw,255
0	kw,480
0	kw,207,ow,38,ow,235
0	kw,172,ow,25,ow,283
0	kw,253,hw,16,hw,32,hw,179
0	kw,150,ow,17,ow,313
0	kw,192,hw,19,hw,50,hw,219
0	kw,480
0	kw,224,ow,33,ow,223
0	kw,201,hw,41,hw,238
0	kw,480
0	kw,107,ww,29,ow,108,hw,236
0	kw,480
0	kw,480
0	kw,480
0	kw,235,hw,20,hw,225
0	kw,262,ow,30,ow,188
0	kw,480
0	kw,296,ow,184
0	kw,165,hw,88,hw,227
0	kw,480
0	kw,182,ow,29,ow,269
0	kw,163,hw,317
0	kw,311,ow,26,ow,143
0	kw,480
0	kw,246,ow,19,ow,215
0	kw,480
0	kw,480
0	kw,145,ow,35,ow,300
0	kw,122,hw,69,hw,289
0	kw,222,hw,19,hw,35,hw,204
0	kw,258,hw,66,hw,156
0	kw,480
0	kw,480
0	kw,341,hw,22,hw,117
0	kw,177,ww,21,ww,282
0	kw,480
0	kw,151,hw,49,hw,280
0	kw,318,ow,162
0	kw,226,hw,38,hw,216
0	kw,480
0	kw,223,ww,45,hw,11,hw,201
0	kw,180,hw,32,hw,43,hw,225
0	kw,257,hw,223
0	kw,265,ow,35,ow,180
0	kw,214,ow,266
0	kw,180,hw,33,hw,267
0	kw,480
0	kw,216,hw,27,hw,237
0	kw,169,hw,25,hw,52,hw,39,hw,195
0	kw,480
0	kw,480
0	kw,195,hw,66,hw,219
0	kw,300,hw,29,hw,28,hw,123
0	kw,136,ow,39,hw,142,ow,163
0	kw,178,ww,36,ww,266
0	kw,105,hw,25,hw,25,hw,325
0	kw,480
0	kw,480
0	kw,270,ow,0,ow,27,ow,183
0	kw,184,hw,33,hw,43,hw,220
0	kw,201,hw,28,hw,251
0	kw,480
0	kw,238,ow,34,ow,208
0	kw,177,ow,67,ow,236
0	kw,480
0	kw,480
0	kw,172,hw,43,hw,265
0	kw,185,hw,51,hw,65,hw,179
0	kw,214,ow,37,ow,229
0	kw,214,ow,46,hw,220
0	kw,480
0	kw,111,ww,72,ow,32,hw,265
0	kw,255,hw,22,hw,203
0	kw,480
0	kw,304,ow,40,hw,136
0	kw,222,hw,94,hw,164
0	kw,134,ww,53,ww,12,ow,116,ow,165
0	kw,320,ow,160
0	kw,480
0	kw,224,ow,38,ow,218
0	kw,480
0	kw,125,ow,38,ow,117,ow,200
0	kw,480
0	kw,218,hw,31,hw,231
0	kw,480
0	kw,285,ow,195
