group	code
0	s0,90,m0,82,m1,38,m2,29
0	s0,107,m0,21,m1,27,m2,84
0	s0,80,c0,14,m0,51,m1,94
0	s0,239
0	s0,123,m0,116
0	s0,102,m0,18,m1,119
0	s0,118,m0,121
0	s0,56,c0,26,m0,10,m1,15,m2,67,m3,65
0	s0,239
0	s0,166,c0,38,m0,33,m1,2
0	s0,44,m0,97,m1,26,m2,72
0	s0,186,c0,53
0	s0,239
0	s0,15,c0,32,m0,77,m1,107,s1,8
0	s0,74,s1,58,c1,107
0	s0,91,m0,27,m1,110,m2,11
0	s0,22,s1,73,c1,1,m1,4,m2,139
0	s0,37,m0,11,m1,31,m2,47,m3,113
0	s0,56,c0,1,m0,182
0	s0,81,m0,158
0	s0,34,m0,12,m1,36,m2,31,m3,126
0	s0,47,s0,46,m0,5,m1,23,m2,87,m3,13,m4,18
0	s0,94,c0,22,m0,9,m1,23,m2,38,m3,53
0	s0,67,c0,27,m0,10,m1,33,m2,77,m3,25
0	s0,47,c0,8,s0,43,m0,16,m1,26,m2,18,m3,81
0	s0,84,m0,2,m1,55,m2,39,m3,59
0	s0,42,c0,32,m0,14,m1,28,m2,47,m3,76
0	s0,51,s1,37,m1,24,m2,127
0	s0,138,s1,101
0	s0,89,m0,22,m1,30,m2,41,m3,57
0	s0,84,c0,1,m0,10,m1,24,m2,120
0	s0,27,c0,63,m0,31,m1,45,m2,46,s2,27
0	s0,55,m0,23,m1,161
0	s0,54,m0,46,m1,15,m2,124
0	s0,86,m0,153
0	s0,46,s1,92,s2,101
0	s0,137,c0,25,c1,10,m1,54,m2,13
0	s0,130,m0,109
0	s0,158,m0,81
0	s0,53,c0,35,m0,22,m1,19,m2,95,m3,15
0	s0,63,c0,4,m0,172
0	s0,34,c0,16,m0,4,m1,14,m2,46,s2,34,s3,91
0	s0,221,c0,18
0	s0,109,m0,11,m1,119
0	s0,39,m0,28,m1,172
0	s0,76,c0,18,m0,34,m1,111
0	s0,52,c0,22,m0,37,m1,52,m2,76
0	s0,143,m0,11,m1,13,m2,35,m3,37
0	s0,112,c0,8,m0,33,m1,13,m2,17,m3,56
0	s0,74,c0,3,c1,162
0	s0,74,c0,6,m0,159
0	s0,77,m0,140,s0,22
0	s0,60,m0,25,m1,154
0	s0,51,c0,20,m0,9,m1,28,m2,131
0	s0,81,m0,77,m1,58,m2,23
