group	code
0	s0,239
0	s0,85,m0,11,m1,64,m2,79
0	s0,207,c0,14,m0,11,m1,7
0	s0,211,m0,9,m1,19
0	s0,33,m0,206
0	s0,95,m0,17,m1,20,m2,107
0	s0,129,m0,12,m1,94,m2,4
0	s0,166,m0,15,m1,40,m2,18
0	s0,137,m0,65,m1,37
0	s0,96,m0,71,m1,72
0	s0,129,m0,110
0	s0,49,m0,3,m1,68,m2,119
0	s0,239
0	s0,45,m0,194
0	s0,46,m0,4,m1,60,m2,129
0	s0,239
0	s0,129,m0,110
0	s0,121,m0,4,m1,114
0	s0,121,m0,16,m1,102
0	s0,62,s1,1,m1,176
0	s0,59,c0,69,s0,55,s1,26,s2,30
0	s0,46,m0,7,m1,23,m2,163
0	s0,239
0	s0,178,m0,12,m1,49
0	s0,143,s1,22,s2,74
0	s0,161,m0,4,m1,61,m2,13
0	s0,61,s1,1,m1,18,m2,39,m3,120
0	s0,47,c0,11,m0,6,m1,36,m2,80,m3,59
0	s0,65,m0,10,m1,33,s1,12,s2,119
0	s0,68,m0,45,m1,126
0	s0,66,s1,26,s2,18,s3,13,c3,27,m3,25,m4,64
0	s0,36,m0,203
0	s0,106,m0,48,m1,52,m2,33
0	s0,99,m0,33,m1,60,m2,41,m3,6
0	s0,89,m0,30,m1,41,m2,79
0	s0,122,m0,6,m1,111
0	s0,47,m0,71,s0,9,m0,87,s0,25
0	s0,239
0	s0,104,m0,24,m1,40,m2,71
0	s0,239
0	s0,35,s1,49,s2,155
0	s0,133,m0,24,m1,60,m2,22
0	s0,239
0	s0,239
0	s0,96,m0,9,m1,30,m2,104
0	s0,33,s1,4,c1,202
0	s0,138,m0,71,s0,30
0	s0,95,s1,22,s2,122
0	s0,97,m0,2,m1,140
0	s0,83,m0,8,m1,123,m2,25
0	s0,132,m0,15,m1,15,m2,77
0	s0,109,c0,1,m0,7,m1,18,m2,60,m4,44
0	s0,76,c0,24,m0,139
0	s0,85,m0,8,m1,33,m2,113
0	s0,239
0	s0,8,s1,26,s2,46,s3,130,s4,29
0	s0,135,m0,104
0	s0,239
0	s0,46,s1,23,s2,170
0	s0,118,m0,121
0	s0,102,m0,6,m1,39,m2,79,m3,13
0	s0,60,s1,13,m1,166
0	s0,70,m0,26,m1,30,m2,113
0	s0,190,c0,24,m0,25
0	s0,239
0	s0,72,m0,8,m1,159
0	s0,120,m0,119
0	s0,131,m0,16,m1,30,m2,62
0	s0,47,m0,3,m1,32,m2,157
0	s0,108,c0,13,c1,11,c3,44,c4,63
0	s0,2,c0,42,m0,14,m1,25,m2,156
0	s0,114,m0,9,m1,34,m2,82
0	s0,239
0	s0,94,m0,29,m1,22,m2,94
0	s0,67,c0,12,m0,151,s0,9
0	s0,43,m0,196
0	s0,120,c0,17,m0,81,m1,17,m2,4
0	s0,128,m0,15,m1,15,m2,81
0	s0,74,m0,3,m1,16,m2,146
0	s0,67,c0,8,m0,6,m1,51,m2,107
0	s0,137,s1,21,m1,33,m2,48
0	s0,97,m0,142
0	s0,45,m0,19,m1,25,m2,146,s2,4
0	s0,132,m0,107
0	s0,239
0	s0,130,m0,53,m1,16,m2,40
0	s0,91,c0,6,m0,6,m1,15,m2,41,m3,80
0	s0,123,s1,1,m1,25,m2,73,s2,17
0	s0,105,m0,4,m1,37,m2,93
0	s0,175,m0,5,m1,23,s1,36
0	s0,115,m0,124
0	s0,177,m0,62
0	s0,131,s1,26,s2,34,m2,48
0	s0,239
0	s0,123,m0,11,m1,30,m2,75
0	s0,62,s1,5,m1,35,m2,118,s2,19
0	s0,239
0	s0,119,c0,2,m0,6,m1,11,m2,13,m3,88
0	s0,239
0	s0,58,m0,181
0	s0,239
0	s0,135,s1,104
0	s0,53,m0,15,m1,35,m2,25,m3,96,m4,15
0	s0,76,m0,163
0	s0,218,c0,1,m0,14,m1,6
0	s0,128,s1,50,m1,61
0	s0,239
0	s0,58,s1,9,m1,14,m2,17,m3,17,m4,124
0	s0,116,m0,2,m1,22,m2,99
0	s0,138,m0,29,m1,72
0	s0,165,m0,47,m1,18,m2,9
0	s0,88,m0,52,m1,44,m2,55
0	s0,145,s1,94
0	s0,169,c0,6,m0,24,m1,40
0	s0,71,m0,124,m1,44
0	s0,156,m0,83
0	s0,49,s1,30,m1,25,m2,65,s2,70
0	s0,62,m0,177
0	s0,239
0	s0,239
0	s0,92,m0,36,m1,37,m2,74
0	s0,51,c0,53,m0,30,m1,49,m2,56
0	s0,66,m0,7,m1,39,m2,106,s2,21
0	s0,121,m0,10,m1,52,m2,56
0	s0,52,m0,7,m1,73,m2,107
0	s0,40,m0,7,m1,56,m2,21,m3,115
0	s0,46,s1,6,m1,11,m2,176
0	s0,169,m0,6,m1,16,m2,48
0	s0,61,m0,150,s0,28
0	s0,64,m0,34,m1,13,m2,119,m3,9
0	s0,170,m0,55,m1,14
0	s0,85,m0,13,m1,18,m2,14,m3,109
0	s0,144,m0,95
0	s0,90,m0,22,m1,17,m2,110
0	s0,111,m0,24,m1,104
0	s0,108,m0,59,m1,72
0	s0,239
0	s0,69,m0,97,m1,33,m2,40
0	s0,91,m0,5,m1,143
0	s0,57,m0,182
0	s0,95,m0,4,m1,140
0	s0,118,m0,51,m1,70
0	s0,127,m0,37,m1,75
0	s0,139,m0,69,m1,31
0	s0,114,m0,7,m1,56,m2,62
0	s0,73,m0,4,m1,162
0	s0,77,c0,21,s0,38,m0,103
0	s0,98,m0,24,m1,21,s1,18,m1,13,m2,25,m3,40
0	s0,239
0	s0,99,m0,36,m1,104
0	s0,31,m0,1,m1,46,m2,95,m3,62,s3,4
0	s0,239
0	s0,239
0	s0,78,m0,15,m1,26,m2,117,m3,3
0	s0,123,m0,10,m1,41,m2,65
0	s0,28,m0,18,m1,20,s1,50,m1,9,m2,28,m3,86
0	s0,239
0	s0,129,m0,6,m1,10,m2,70,m3,24
0	s0,239
0	s0,239
0	s0,108,m0,5,m1,19,m2,107
0	s0,103,c0,16,m0,2,m1,64,m2,54
0	s0,77,m0,14,m1,28,m2,120
0	s0,117,m1,23,m2,99
0	s0,116,m0,63,m1,60
0	s0,171,m0,32,m1,36
0	s0,75,s1,164
0	s0,35,c0,3,m0,6,m1,40,m2,99,m3,56
0	s0,83,m0,4,m1,13,m2,14,m3,125
0	s0,132,m0,2,m1,30,m2,75
