group	code
0	s0,48,s1,191
0	s0,14,s1,3,m1,34,m2,70,s2,2,c2,116
0	s0,44,m0,17,m1,47,m2,131
0	s0,142,m0,21,m1,44,m2,32
0	s0,41,m0,5,m1,21,m2,172
0	s0,239
0	s0,5,m0,4,m1,27,m2,31,m3,31,m4,68,s4,26,c4,29,s4,18
0	s0,188,m0,51
0	s0,35,m0,5,m1,20,m2,171,s2,8
0	s0,239
0	s0,80,c0,46,m0,4,m1,24,m2,85
0	s0,239
0	s0,43,m0,21,m1,33,m2,142
0	s0,84,m0,29,m1,126
0	s0,113,c0,1,m0,100,m1,25
0	s0,133,m0,9,m1,71,m3,26
0	s0,31,c0,1,c1,1,m1,22,m2,8,s2,13,c2,33,c3,79,s3,51
0	s0,165,m0,28,m1,23,m2,23
0	s0,113,m0,20,m1,41,m2,65
0	s0,71,s1,13,s2,13,s3,20,s4,122
0	s0,57,m0,12,m1,19,m2,16,m3,135
0	s0,239
0	s0,45,m0,12,m1,39,m2,17,m3,126
0	s0,96,c0,10,m0,6,m1,33,m2,94
0	s0,48,m0,4,m1,32,m2,155
0	s0,239
0	s0,74,m0,99,s0,36,s1,27,c1,3
0	s0,154,c0,12,m0,16,m1,57
0	s0,104,m0,10,m1,86,m2,39
0	s0,23,m0,21,m1,11,m2,24,m3,12,m4,148
0	s0,52,m0,32,m1,94,m2,59,s2,2
0	s0,55,m0,5,m1,22,m2,157
0	s0,60,m0,5,m1,25,m2,149
0	s0,96,m0,11,m1,16,m2,42,m3,74
0	s0,113,m0,91,s0,16,c0,2,m0,17
0	s0,239
0	s0,140,m0,63,m1,30,m2,6
0	s0,239
0	s0,68,m0,27,m1,73,m2,71
0	s0,239
0	s0,73,m0,37,m1,64,m2,65
0	s0,92,m0,16,m1,131
0	s0,208,m0,31
0	s0,96,m0,34,m1,17,m2,18,m3,11,m4,63
0	s0,31,m0,34,m1,40,m2,134
0	s0,87,m0,7,m1,16,m2,89,m3,40
0	s0,113,m0,13,m1,61,m2,52
0	s0,239
0	s0,112,m0,127
0	s0,41,c0,7,m0,9,m1,84,m2,98
0	s0,51,m0,5,m1,28,m2,155
0	s0,34,m0,13,m1,33,m2,25,m3,16,m4,118
0	s0,46,m0,193
0	s0,166,m0,11,m1,62
0	s0,81,m0,48,m1,38,m2,72
0	s0,90,m0,25,m1,76,m2,48
0	s0,154,m0,32,m1,34,m2,19
0	s0,189,m0,34,m1,16
0	s0,83,m0,39,m1,81,s1,17,c1,19
0	s0,87,m0,83,s0,69
0	s0,106,m1,39,m2,94
0	s0,79,m0,2,m1,25,m2,133
0	s0,54,c0,2,m0,5,m1,178
0	s0,93,m0,27,m1,87,m2,32
0	s0,118,c0,121
0	s0,49,m0,13,m1,32,m2,130,m3,15
0	s0,115,m0,33,m1,29,m2,62
0	s0,87,c0,38,m0,2,m1,108,s1,4
0	s0,79,m0,29,m1,34,m2,79,s2,18
0	s0,107,m0,45,m1,87
0	s0,74,c0,4,c1,37,m1,20,m2,104
0	s0,33,m0,11,m1,15,m2,37,m3,143
