group	code
0	s0,62,m0,9,m1,39,m2,129
0	s0,95,c0,6,m0,14,s0,124
0	s0,40,c0,15,c1,9,m1,16,m2,159
0	s0,239
0	s0,145,m0,8,m1,12,m2,74
0	s0,71,c0,6,m0,4,m1,43,m2,30,m3,85
0	s0,239
0	s0,239
0	s0,57,m0,22,m1,11,m2,149
0	s0,128,m0,43,m1,68
0	s0,118,s1,18,s2,72,s3,31
0	s0,147,m0,9,m1,19,m2,64
0	s0,126,m0,16,m1,14,m2,83
0	s0,127,m0,112
0	s0,69,c0,9,m1,37,m2,22,m3,51,m4,51
0	s0,24,m0,43,m1,41,m2,131
0	s0,28,m0,13,m1,198
0	s0,153,s1,3,m1,38,m2,45
0	s0,54,m0,13,m1,172
0	s0,72,m0,47,m1,83,m2,37
0	s0,85,c0,2,m0,27,m1,23,m2,17,m3,85
0	s0,47,m0,8,m1,27,m2,157
0	s0,170,c0,50,c1,19
0	s0,76,m0,9,m1,23,m2,30,m3,101
0	s0,143,c0,12,c1,29,c2,3,s2,52
0	s0,130,m0,18,m1,31,m2,51,m3,9
0	s0,150,m0,21,m1,19,m2,49
0	s0,118,m0,19,m1,18,m2,22,s2,4,c2,58
0	s0,111,m0,10,m1,118
0	s0,45,m0,11,m1,27,m2,66,m3,90
0	s0,71,c0,13,m0,2,m1,26,m2,37,s2,90
0	s0,119,m0,11,m1,20,m2,89
0	s0,115,c0,5,c1,16,m1,34,m2,69
0	s0,121,m0,118
0	s0,209,c0,5,m0,5,m1,20
0	s0,101,m0,9,m1,129
0	s0,239
0	s0,60,m0,8,m1,41,m2,130
0	s0,105,m0,18,m1,116
0	s0,75,c0,18,c1,26,m2,120
0	s0,153,m0,21,m1,59,m2,6
0	s0,36,c0,14,m1,76,m2,113
0	s0,152,c0,7,m0,14,m1,16,m2,50
0	s0,84,c0,17,c1,5,m1,128,m2,5
0	s0,53,c0,20,m0,16,m1,23,m2,14,m3,113
0	s0,107,c0,6,m0,5,m1,18,m2,103
0	s0,234,c0,5
0	s0,239
0	s0,102,m0,12,m1,125
0	s0,239
0	s0,170,c0,12,c1,2,m1,55
0	s0,239
0	s0,188,m0,51
0	s0,116,c0,19,c1,17,c2,87
0	s0,137,m0,4,m1,20,m2,78
0	s0,81,m0,13,m1,34,m2,111
0	s0,239
0	s0,100,c0,3,m0,29,m1,5,m2,102
