group	code
0	s0,67,m0,172
0	s0,64,m0,6,m1,17,m2,118,m3,34
0	s0,85,c0,85,s0,46,c0,15,m0,2,m1,6
0	s0,75,c0,114,m0,50
0	s0,150,c0,34,m0,6,m1,37,s1,12
0	s0,150,s1,57,s2,32
0	s0,78,m0,61,m1,58,m2,42
0	s0,90,c0,5,m0,144
0	s0,57,s1,119,s2,63
0	s0,46,c0,37,m0,41,m1,38,m2,77
0	s0,95,c1,24,m1,20,m2,100
0	s0,157,c0,30,s0,52
0	s0,85,m0,140,s0,14
0	s0,19,c0,52,s0,1,c0,19,m0,148
0	s0,148,c0,5,m0,86
0	s0,115,c0,4,m0,112,m1,8
0	s0,107,m0,49,m1,19,m2,64
0	s0,104,m0,4,m1,68,m2,63
0	s0,239
0	s0,30,m0,6,m1,14,m2,189
0	s0,98,m0,4,m1,137
0	s0,90,c0,32,m0,86,m1,18,m2,13
0	s0,71,m0,15,m1,153
0	s0,88,m0,15,m1,136
0	s0,46,m0,3,m1,30,m2,93,m3,67
0	s0,84,m0,155
0	s0,60,s1,163,s2,16
0	s0,47,m0,5,m1,187
0	s0,53,m0,2,m1,13,m2,171
0	s0,239
0	s0,44,c0,2,m0,27,m1,166
0	s0,60,m0,6,m1,166,m2,7
0	s0,30,c0,9,m0,200
0	s0,52,m0,1,m1,11,m2,175
0	s0,92,m0,10,m1,51,m2,41,m3,45
0	s0,56,s1,26,s2,99,s4,58
0	s0,98,c0,34,m0,34,s0,73
0	s0,239
0	s0,149,s1,90
0	s0,239
0	s0,133,m0,9,m1,97
0	s0,56,s1,1,m1,98,m2,84
0	s0,118,s1,1,c1,44,c2,27,m2,49
0	s0,60,c0,6,m0,14,m1,44,m2,20,m3,95
0	s0,239
0	s0,108,c0,29,m0,32,m1,47,m3,23
0	s0,183,m0,56
0	s0,239
0	s0,80,m0,5,m1,39,m2,115
0	s0,161,m0,78
0	s0,74,m0,14,m1,151
0	s0,239
0	s0,58,c0,63,m0,32,m1,86
0	s0,71,c0,73,m0,95
0	s0,49,c0,14,m0,3,m1,53,s1,48,c1,72
0	s0,239
0	s0,239
0	s0,79,m0,5,m1,93,m2,62
0	s0,239
0	s0,176,c0,63
0	s0,239
0	s0,239
0	s0,129,m0,110
0	s0,143,c0,42,s0,54
0	s0,128,m0,88,m1,23
0	s0,239
0	s0,149,s1,90
0	s0,141,c0,2,m0,57,m1,39
0	s0,57,c0,2,c1,4,m1,161,s1,15
0	s0,57,s1,4,m1,81,m2,97
0	s0,100,m0,6,m1,41,m2,92
0	s0,91,c0,26,m0,5,m1,117
0	s0,56,m0,26,m1,157
0	s0,239
0	s0,239
0	s0,140,c0,5,c1,4,m1,18,m2,72
0	s0,142,m0,12,m1,85
0	s0,180,c0,6,c1,17,m1,36
0	s0,142,c0,45,m0,52
0	s0,50,c0,9,m0,6,m1,107,m2,67
0	s0,58,s1,181
0	s0,55,c0,2,m0,12,m1,170
0	s0,99,c0,18,m0,38,m1,36,m2,48
0	s0,119,m0,120
0	s0,109,m0,94,m1,36
0	s0,59,s1,1,m1,179
0	s0,154,c0,3,m0,25,m1,36,m2,21
0	s0,213,s1,24,s2,2
0	s0,112,m0,89,m1,38
0	s0,130,m0,29,m1,80
0	s0,72,c0,60,m0,107
0	s0,80,m0,80,m1,79
0	s0,119,s1,120
0	s0,184,s1,15,s2,40
0	s0,44,c0,11,m0,69,m1,42,m2,73
0	s0,108,s1,1,c1,120,m1,10
0	s0,62,m0,4,m1,111,m2,62
0	s0,55,m0,5,m1,81,m2,98
0	s0,52,m0,4,m1,65,m2,22,s2,89,c2,2,m2,5,m3,1
0	s0,82,s1,10,s2,3,c2,28,m2,116
0	s0,35,m0,204
0	s0,68,m0,33,m1,49,s1,13,c1,21,m1,29,m2,25,m3,1
0	s0,58,c0,1,c1,16,c2,7,c3,37,m3,120
0	s0,155,c0,14,m0,70
0	s0,71,s1,168
0	s0,142,c0,44,s0,53
0	s0,143,c0,54,m0,37,m1,5
0	s0,239
0	s0,93,c0,1,m0,11,m1,23,m2,79,m3,32
0	s0,126,m0,27,m1,18,m2,68
0	s0,75,s1,5,m1,51,m2,108
0	s0,112,s1,35,c1,8,m1,64,m2,20
0	s0,87,m0,152
0	s0,95,c0,13,m0,34,m1,30,m2,67
0	s0,60,m0,5,m1,56,m2,118
0	s0,93,m0,131,m1,15
0	s0,47,c0,9,m0,5,m1,61,m2,117
0	s0,239
0	s0,63,m0,176
0	s0,58,c0,2,m0,179
0	s0,94,m0,132,m1,13
0	s0,127,c0,5,c1,31,m1,9,m2,67
0	s0,114,c0,32,m0,23,m1,70
0	s0,239
0	s0,98,m0,6,m1,30,m2,105
0	s0,183,m0,15,m1,41
0	s0,159,c0,19,s0,46,c0,15
0	s0,191,s1,10,s2,38
0	s0,239
0	s0,57,c0,19,m0,17,s0,2,s1,109,s2,35
0	s0,239
0	s0,94,s1,145
0	s0,80,m0,159
0	s0,183,c0,11,c1,11,m1,34
0	s0,55,s1,58,s2,103,s3,12,s4,11
0	s0,239
0	s0,71,c0,2,m0,42,m1,28,m2,96
0	s0,59,m0,15,m1,165
0	s0,146,m0,65,m1,28
0	s0,67,m0,3,m1,13,m2,156
0	s0,83,m0,10,m1,70,m2,76
0	s0,239
0	s0,239
0	s0,75,m0,22,m1,62,m2,80
0	s0,134,s1,97,c1,8
0	s0,144,c0,95
0	s0,93,s1,15,m1,50,m2,81
0	s0,239
0	s0,169,c0,2,m0,12,m1,50,m2,6
0	s0,85,c0,1,m0,31,s0,122
0	s0,106,m0,133
0	s0,67,c0,17,m0,5,m1,128,m2,22
0	s0,59,m0,6,m1,11,m2,28,m3,135
0	s0,97,c0,3,m0,18,m1,11,s1,11,c1,14,m1,85
0	s0,239
0	s0,78,c0,137,m0,24
0	s0,239
0	s0,82,c0,12,m0,73,m1,72
0	s0,43,s1,18,c1,33,m1,30,m2,115
0	s0,71,c0,97,c1,71
0	s0,218,c0,21
0	s0,67,c0,3,m0,27,m1,32,m2,110
0	s0,26,m0,5,m1,69,m2,139
0	s0,93,c0,30,m0,115,m1,1
0	s0,81,c0,2,m0,23,m1,37,m2,96
0	s0,131,m0,108
0	s0,239
0	s0,96,m0,61,m1,82
0	s0,55,c0,23,m0,161
0	s0,239
0	s0,93,c0,68,m0,40,m1,38
0	s0,239
0	s0,73,m1,166
0	s0,83,m0,69,m1,87
0	s0,239
0	s0,158,c0,15,m0,2,m1,37,m2,27
0	s0,142,m0,75,m1,22
0	s0,53,s1,79,m1,12,m2,95
0	s0,106,c0,24,m0,66,m1,43
0	s0,67,s1,6,m1,166
0	s0,239
0	s0,239
0	s0,239
0	s0,38,m0,13,m1,32,m2,156
0	s0,44,c0,21,m0,5,m1,27,s1,80,c1,62
0	s0,82,c0,3,m0,44,m1,37,m2,73
0	s0,95,s1,86,c1,12,m1,7,m2,39
0	s0,34,m0,5,m1,52,m2,148
0	s0,118,c0,89,m0,8,m1,24
0	s0,68,c0,19,m0,64,m1,88
0	s0,109,s1,26,s2,29,s3,75
0	s0,68,m0,37,m1,134
0	s0,139,c0,27,m0,73
0	s0,80,c0,1,m0,82,m1,76
0	s0,115,s1,10,m1,114
0	s0,116,c0,6,m0,117
0	s0,180,c0,17,m0,24,m1,18
0	s0,66,c0,4,m0,5,m1,164
0	s0,69,c0,5,m0,28,m1,45,m2,92
0	s0,239
0	s0,30,c0,15,m0,4,m1,21,m2,80,m3,89
0	s0,71,c0,60,m0,43,m1,65
0	s0,55,m0,6,m1,11,m2,99,s2,68
0	s0,87,m0,29,s0,123
0	s0,170,m0,69
0	s0,51,m0,26,m1,44,m2,118
0	s0,101,c0,17,m0,17,m1,104
0	s0,95,m0,14,m1,37,m2,93
0	s0,73,m0,70,m1,51,m2,45
0	s0,239
0	s0,50,m0,27,m1,80,m2,54,m3,28
0	s0,47,m0,10,m1,122,m2,60
0	s0,239
0	s0,174,c0,65
0	s0,83,s1,22,m1,48,m2,86
0	s0,86,s1,112,s2,41
0	s0,180,c0,9,c1,4,m1,16,m2,30
0	s0,67,c0,18,m0,25,m1,129
0	s0,55,m0,12,m1,27,m2,145
0	s0,52,m0,38,m1,149
0	s0,124,s1,115
0	s0,160,s1,9,m1,46,m2,24
0	s0,239
0	s0,16,s1,38,s2,17,m2,168
0	s0,43,c0,5,m0,17,m1,14,m2,96,m3,64
0	s0,86,s1,33,s2,120
0	s0,143,c0,58,s0,12,c0,26
0	s0,94,c0,16,m0,20,m1,33,m2,76
0	s0,80,m0,15,m1,92,m2,52
0	s0,210,c0,29
0	s0,61,m0,4,m1,30,m2,144
0	s0,68,c0,1,m0,19,m1,93,m2,58
0	s0,67,c0,23,c1,112,m1,37
0	s0,124,s1,45,s2,70
0	s0,100,c0,19,m0,34,m1,30,m2,56
0	s0,46,m0,30,m1,68,s1,35,c1,5,m1,55
0	s0,133,m0,106
0	s0,45,c0,17,m0,42,m1,85,s1,50
0	s0,176,c0,63
0	s0,58,c0,7,m0,80,m1,88,m2,6
0	s0,65,m0,6,m1,168
0	s0,98,c0,11,m0,8,m1,26,m2,96
0	s0,42,m0,197
0	s0,160,m0,47,m1,22,m2,10
0	s0,58,s1,17,s2,1,m2,163
0	s0,150,m0,21,m1,68
0	s0,47,m0,192
0	s0,105,m0,134
0	s0,239
0	s0,128,s1,39,s2,72
1	s0,108,c0,7,s0,124
1	s0,68,m0,34,m1,72,m2,65
1	s0,183,c0,22,c1,28,m1,2,m2,4
1	s0,186,c0,17,m0,23,m2,13
1	s0,91,s1,98,s3,50
1	s0,203,c0,36
1	s0,10,c0,24,m0,6,m1,6,s1,27,c1,14,m1,12,m2,8,s2,132
1	s0,20,c0,83,s0,13,c0,20,m0,3,m1,57,m2,43
1	s0,133,c0,23,m0,20,m1,54,m2,9
1	s0,96,c0,61,m0,82
1	s0,76,c0,62,c1,89,c2,12
1	s0,79,c0,43,c1,117
