group	code
0	s0,172,c0,91,c1,36
0	s0,299
0	s0,299
0	s0,134,m0,39,m1,16,m2,110
0	s0,100,m0,7,m1,24,m2,168
0	s0,33,m0,4,m1,13,m2,51,m3,198
0	s0,299
0	s0,261,c0,1,s0,21,c0,16
0	s0,299
0	s0,299
0	s0,131,s1,7,m1,17,m2,108,m3,36
0	s0,299
0	s0,144,m0,47,m1,108
0	s0,27,m0,104,m1,60,m2,12,m3,96
0	s0,197,m0,102
0	s0,51,m0,28,m1,76,m2,37,m3,107
0	s0,123,m0,104,m1,72
0	s0,167,m0,24,m1,84,m2,24
0	s0,131,c1,132,c2,36
0	s0,118,m0,1,m1,60,m2,120
0	s0,171,m0,15,m1,39,m2,74
0	s0,299
0	s0,97,m0,22,m1,60,m2,120
0	s0,166,m0,73,m1,48,m2,12
0	s0,299
0	s0,299
0	s0,299
0	s0,299
0	s0,179,m0,12,m1,36,m2,72
0	s0,93,m0,13,m1,85,m2,108
0	s0,217,m0,10,m1,72
0	s0,149,m0,54,m1,96
0	s0,299
0	s0,299
0	s0,299
0	s0,299
0	s0,28,m0,91,m1,180
0	s0,299
0	s0,126,m0,41,m1,132
0	s0,157,m0,1,s0,13,s1,78,c1,50
0	s0,299
0	s0,67,m0,4,m1,48,m2,180
0	s0,205,m0,34,m1,12,m2,48
0	s0,82,m0,121,m1,96
0	s0,77,m0,6,m1,72,m2,144
0	s0,299
0	s0,131,c0,36,c1,132
0	s0,160,m0,43,m1,72,m2,24
0	s0,184,m0,31,m1,36,m2,48
0	s0,299
0	s0,299
0	s0,299
0	s0,37,m0,9,m1,35,m2,79,m3,139
0	s0,299
0	s0,299
0	s0,128,m0,27,m1,48,m2,96
0	s0,226,m0,25,m1,48
0	s0,165,m0,2,m1,36,m2,36,m3,60
0	s0,80,c0,1,s0,14,m0,12,m1,48,m2,144
0	s0,71,m0,13,m1,12,m2,203
0	s0,69,m0,14,m1,216
0	s0,107,s1,7,m1,89,m2,96
0	s0,299
0	s0,240,m0,11,m1,24,m2,24
0	s0,159,m0,140
0	s0,150,m0,17,m1,132
0	s0,299
0	s0,93,m0,38,m1,168
0	s0,299
0	s0,206,m0,9,m1,84
0	s0,299
0	s0,133,c0,1,s0,165
0	s0,299
0	s0,87,m0,68,m1,144
0	s0,158,m0,9,m1,96,m2,36
0	s0,83,m0,216
0	s0,134,m0,21,m1,144
0	s0,113,m0,30,m1,84,m2,72
0	s0,299
0	s0,148,m0,151
0	s0,110,m0,9,m1,72,m2,108
0	s0,71,m0,12,m1,12,m2,204
0	s0,176,c0,3,c1,120
0	s0,137,m0,162
0	s0,80,m0,3,m1,216
0	s0,250,m0,1,m1,48,m2,0
0	s0,299
0	s0,126,m0,11,m1,68,m2,94
0	s0,299
0	s0,299
0	s0,85,m0,10,m1,84,m2,120
0	s0,113,m0,7,m1,19,m2,160
0	s0,196,m0,7,m1,96
0	s0,118,m0,16,m1,165
0	s0,299
0	s0,299
0	s0,299
0	s0,299
0	s0,96,m0,38,m1,28,m2,48,m3,89
0	s0,272,m0,3,m1,24
0	s0,299
0	s0,118,m0,37,m1,144
0	s0,219,c0,20,c1,60
0	s0,73,m0,5,m1,65,m2,156
0	s0,104,c0,1,s0,194
0	s0,146,m0,9,m1,144
0	s0,128,m0,63,m1,48,m2,60
0	s0,299
0	s0,97,m0,13,m1,21,m2,168
0	s0,187,m0,112
0	s0,240,m0,59
0	s0,87,m0,24,m1,32,m2,10,m3,146
0	s0,148,m0,19,m1,132
0	s0,127,m0,28,m1,144
0	s0,299
0	s0,211,m0,3,m1,85
0	s0,152,m0,15,m1,132
0	s0,88,m0,10,m1,69,m2,132
0	s0,26,s1,40,m1,10,m2,67,m3,84,m4,72
0	s0,299
