group	code
0	s0,144,c0,21,c1,17,c2,36,c3,81
0	s0,70,c0,142,s0,87
0	s0,112,c0,42,c1,26,c2,34,c3,9,c4,76
0	s0,140,c0,5,m0,75,m1,45,m2,34
0	s0,194,c0,22,m0,31,m1,52
0	s0,84,c0,99,c1,4,m1,38,m2,74
0	s0,127,c0,72,s0,67,s1,25,s2,8
0	s0,299
0	s0,116,c0,2,m0,36,m1,26,m2,40,m3,79
0	s0,48,s1,5,m1,43,m2,203
0	s0,50,c0,43,s0,206
0	s0,193,c0,30,s0,31,s1,43,s2,2
0	s0,173,m0,20,m1,10,m2,18,m3,18,m4,60
0	s0,104,c0,18,c1,22,c2,155
0	s0,92,m0,11,m1,21,m2,57,m3,118
0	s0,93,c0,4,m0,202
0	s0,151,c0,19,c1,51,c2,5,c3,73
0	s0,75,c0,4,m0,21,m1,50,m2,149
0	s0,299
0	s0,80,s1,219
0	s0,84,m0,215
0	s0,299
0	s0,140,c0,15,m0,3,m1,36,m2,105
0	s0,75,m0,62,m1,29,m2,20,m3,113
0	s0,75,m0,51,m1,37,m2,64,m3,22,m4,50
0	s0,299
0	s0,127,c0,41,m0,13,m1,32,m2,4,m3,82
0	s0,92,c0,104,c1,7,m1,43,m2,53
0	s0,86,c0,51,c1,97,s1,65
0	s0,123,c0,7,m0,14,m1,74,m2,81
0	s0,73,m0,8,m1,48,m2,170
0	s0,78,c0,12,c1,26,c2,56,s2,127
0	s0,137,m0,8,m1,75,m2,79
0	s0,94,s1,9,c1,12,c2,32,c3,68,c4,82,s4,2
0	s0,144,c0,14,c1,36,c2,105
0	s0,84,c0,215
0	s0,195,m0,7,m1,55,m2,33,m3,9
0	s0,75,c0,139,c1,85
0	s0,34,c0,34,s0,88,s1,31,s2,42,s3,70
0	s0,91,c0,126,s0,82
0	s0,70,m0,46,m1,43,m2,140
0	s0,99,c0,30,s0,97,s1,18,s2,55
0	s0,161,c0,24,s0,114
0	s0,222,m0,6,m1,23,m2,22,m3,26
0	s0,97,c0,202
0	s0,61,c0,238
0	s0,42,c0,4,m0,11,m1,56,m2,186
0	s0,197,m0,27,m1,75
0	s0,128,m0,38,m1,41,m2,92
0	s0,183,c0,29,c1,2,m1,2,m2,83
0	s0,299
0	s0,100,c0,45,c1,31,c2,123
0	s0,81,c0,134,s0,14,s1,70
0	s0,123,c0,71,s0,105
0	s0,99,c0,124,c1,9,c2,13,s2,54
