group	code
0	s0,106,c0,18,c1,4,m1,45,s1,40,s2,12,c2,2,c3,12
0	s0,226,c0,13
0	s0,107,m0,30,m1,34,m2,68
0	s0,79,m0,48,m1,43,m2,69
0	s0,137,c0,5,m0,35,m1,25,m2,33,m3,4
0	s0,97,m0,11,m1,32,m2,35,m3,64
0	s0,129,c0,6,m0,45,m1,29,m2,30
0	s0,239
0	s0,86,m0,72,m1,46,s1,35
0	s0,61,c0,24,m0,27,m1,41,m2,42,m3,44
0	s0,86,m0,5,m1,78,m2,70
0	s0,54,c0,15,m0,50,m1,46,m2,74
0	s0,52,m0,9,m1,22,m2,81,s2,35,c2,40
0	s0,159,s1,9,s2,71
0	s0,191,m0,20,m1,23,m2,5
0	s0,130,m0,8,m1,58,m2,43
0	s0,51,s1,152,c1,26,m1,10
0	s0,40,c0,5,s0,49,c0,15,m0,14,m1,28,m2,45,m3,43
0	s0,109,m0,48,m1,48,m2,34
0	s0,27,c0,6,m0,5,m1,28,m2,90,s2,81,c2,2
0	s0,109,m0,5,m1,30,m2,95
0	s0,116,c0,11,m0,11,m1,70,m2,31
0	s0,83,c0,13,m0,18,m1,25,m2,100
0	s0,93,c0,127,c1,19
0	s0,69,m0,144,s0,26
0	s0,161,c0,60,s0,18
0	s0,43,s1,17,m1,5,m2,142,s2,32
0	s0,64,s1,19,s2,156
0	s0,96,m0,3,m1,9,s1,8,c1,14,m1,49,m2,60
0	s0,76,m0,4,m1,76,m2,83
0	s0,54,m0,7,m1,16,m2,162
0	s0,89,c0,12,m0,32,m1,15,m2,63,m3,28
0	s0,73,m0,2,m1,19,m2,145
0	s0,134,s1,14,s2,77,s3,14
0	s0,89,m0,9,m1,35,m2,106
0	s0,66,m0,10,m1,43,m2,120
0	s0,100,c0,8,m0,73,m1,58
0	s0,112,m0,16,m1,60,m2,51
0	s0,81,m0,7,m1,25,m2,126
0	s0,96,c0,5,m0,3,m1,20,m2,70,s2,15,c2,13,m2,17
0	s0,239
0	s0,42,s1,16,m1,1,m2,180
0	s0,102,c0,1,m0,11,m1,45,m2,38,m3,26,m4,16
0	s0,239
0	s0,59,m0,3,m1,45,m2,120,s2,12
0	s0,151,c0,4,m0,16,m1,68
0	s0,59,m0,5,m1,46,m2,129
0	s0,97,m0,40,m1,87,m2,15
0	s0,181,c0,58
0	s0,187,c0,43,s0,9
0	s0,58,m0,5,m1,50,m2,126
0	s0,86,c0,2,m0,5,m1,30,m2,116
0	s0,193,c0,39,c1,7
0	s0,58,c0,16,m0,11,m1,26,m2,21,m3,107
0	s0,105,c0,5,m0,56,m1,35,m2,38
0	s0,119,m0,10,m1,49,m2,61
0	s0,88,m0,9,m1,35,m2,107
0	s0,50,c0,35,c1,16,c2,60,c3,78
0	s0,239
0	s0,239
0	s0,100,m0,9,m1,34,m2,96
0	s0,148,c0,25,s0,47,c0,14,s0,5
0	s0,50,s1,14,c1,43,m1,49,m2,83
0	s0,181,c0,29,s0,29
0	s0,107,c0,72,m0,19,m1,41
0	s0,91,m0,9,m1,37,m2,95,m3,7
0	s0,239
0	s0,79,m0,10,m1,55,m2,95
0	s0,100,c0,11,m0,23,m1,45,m2,60
0	s0,217,m0,22
