group	code
0	s0,144,s1,95
0	s0,79,m0,11,m1,16,m2,127,m3,6
0	s0,32,s1,15,m1,21,s1,48,s2,9,m2,3,s2,111
0	s0,132,m0,107
0	s0,149,m0,5,m1,12,m2,73
0	s0,71,m0,10,m1,15,m2,52,m3,91
0	s0,63,m0,11,m1,51,m2,114
0	s0,39,c0,25,c1,1,m1,25,m2,43,m3,106
0	s0,77,m0,4,m1,26,m2,132
0	s0,239
0	s0,37,m0,21,m1,13,m2,19,m3,17,m4,132
0	s0,87,m0,8,m1,21,m2,41,m3,82
0	s0,50,m0,9,m1,20,m2,160
0	s0,57,m0,17,m1,17,m2,148
0	s0,23,m0,4,m1,26,m2,19,s2,167
0	s0,98,m0,8,m1,36,m2,97
0	s0,230,m0,9
0	s0,126,m0,11,m1,102
0	s0,140,m0,12,m2,17,s2,70
0	s0,68,c0,4,m0,50,m1,20,m2,97
0	s0,130,m0,5,m1,13,m2,14,m3,77
0	s0,96,m0,6,m1,137
0	s0,104,m0,92,m1,24,m2,19
0	s0,86,m0,8,m1,49,m2,96
0	s0,97,m0,1,m1,109,m2,32
0	s0,82,m0,22,m1,90,m2,45
0	s0,55,m0,14,m1,170
0	s0,56,m0,14,m1,16,m2,37,m3,61,m4,55
0	s0,73,m0,21,m1,25,m2,43,m3,13,s3,8,s4,56,m4,1
0	s0,53,c0,5,m0,5,m1,10,m2,13,m3,11,m4,142
0	s0,198,m0,11,m1,14,m2,16
0	s0,102,m0,16,m1,14,m2,107
0	s0,165,m0,74
0	s0,113,m0,7,m1,28,m2,91
0	s0,97,m0,9,m1,16,m2,81,m3,36
0	s0,157,s1,1,m1,29,m2,52
0	s0,47,s1,76,m1,9,m2,34,m3,15,m4,58
0	s0,64,m0,175
0	s0,239
0	s0,111,m0,6,m1,122
0	s0,82,m0,25,m1,132
0	s0,100,m0,16,s0,69,s1,54
0	s0,110,m0,7,m1,52,m2,70
0	s0,51,m0,9,m1,23,m2,120,m3,36
0	s0,64,s1,17,s2,158
0	s0,101,m0,6,m1,58,m2,74
0	s0,47,m0,11,m1,35,m2,146
0	s0,239
0	s0,125,m0,9,m1,59,m2,46
0	s0,69,m0,39,m3,31,m4,100
0	s0,239
0	s0,102,m0,13,m1,46,m2,78
0	s0,239
0	s0,57,m0,26,m1,86,s1,70
0	s0,169,m0,10,m1,60
0	s0,115,m0,20,m1,48,m2,56
0	s0,46,m0,14,m1,16,m2,46,m3,117
0	s0,190,m0,8,m1,30,m2,11
0	s0,239
0	s0,106,m0,133
0	s0,99,m0,10,m1,44,m2,86
0	s0,108,m0,9,m1,48,m2,74
0	s0,63,m0,18,m1,25,m2,133
0	s0,44,m0,44,m1,151
0	s0,231,m0,8
0	s0,239
0	s0,66,m0,9,m1,164
0	s0,105,m0,14,m1,53,m2,67
0	s0,81,m0,17,m1,11,m2,77,m3,53
0	s0,132,c0,2,m0,7,m1,98
0	s0,68,m0,3,m1,22,m2,139,m3,7
0	s0,70,m0,80,m1,40,m2,35,m3,14
0	s0,83,m0,8,m1,29,m2,95,m3,24
0	s0,73,s1,103,s2,24,s3,37,s4,2
0	s0,31,c0,5,m0,7,m1,8,s1,33,m1,48,m2,107
0	s0,204,s1,5,m1,30
0	s0,103,m0,6,m1,11,m2,119
0	s0,112,m0,24,m1,37,m3,66
0	s0,41,m0,6,m1,77,m2,115
0	s0,142,c0,5,m0,7,m1,85
0	s0,111,s1,22,s2,33,m2,73
0	s0,63,m0,7,m1,16,m2,33,m3,120
0	s0,37,s1,3,m1,9,m2,20,m3,16,m4,154
0	s0,86,s1,6,m1,21,m2,47,m3,79
0	s0,79,m0,5,m1,20,m2,50,m3,85
0	s0,61,s1,67,c1,5,m1,6,m2,42,m4,58
0	s0,99,m0,34,m1,106
0	s0,59,m0,16,m1,74,m2,90
0	s0,56,m0,28,m1,91,m2,64
0	s0,93,m0,98,s0,48
0	s0,239
0	s0,118,m0,18,m1,27,m2,67,m3,9
0	s0,99,s1,5,m1,117,m3,18
0	s0,76,s1,1,m1,32,m2,130
0	s0,101,m0,8,m1,95,m2,35
0	s0,103,m0,31,m1,40,m2,65
0	s0,208,m0,13,m1,18
0	s0,170,m0,6,m1,24,m2,39
0	s0,116,m0,25,m1,14,m2,84
0	s0,102,m0,17,m1,120
0	s0,95,m0,3,m1,141
0	s0,70,m0,14,m1,30,m2,110,m3,15
0	s0,88,s1,61,s3,90
0	s0,38,m0,3,m1,13,m2,155,s2,30
0	s0,43,m0,5,m1,18,m2,44,m3,85,m4,44
0	s0,93,m0,14,m1,29,m2,103
0	s0,46,c0,11,m1,15,m2,167
0	s0,239
0	s0,126,m0,54,m1,38,m2,21
0	s0,124,m0,20,m1,10,m2,16,m3,69
0	s0,117,m0,10,m1,46,m2,66
0	s0,78,m0,13,m1,74,m2,74
0	s0,38,m0,6,m1,28,m2,25,m3,96,m4,46
0	s0,186,m0,53
0	s0,110,s1,2,c1,6,m1,29,m2,92
0	s0,64,m0,39,m1,77,m2,23,m3,36
0	s0,79,m0,9,m1,75,m2,74,m3,2
0	s0,55,m0,76,m1,108
0	s0,66,c0,6,m0,5,m1,37,m2,125
0	s0,26,c0,3,m1,46,m2,164
0	s0,153,m0,9,m1,77
0	s0,63,m0,15,m1,15,m2,126,m3,20
0	s0,116,m0,13,m1,110
0	s0,85,c0,8,m0,12,m1,134
0	s0,147,m0,23,m1,22,m2,47
0	s0,118,m0,3,m1,52,m2,66
0	s0,239
0	s0,124,c0,48,s0,67
0	s0,122,m0,12,m1,105
0	s0,58,s1,126,s2,55
0	s0,81,m0,32,m1,29,m2,33,m3,64
0	s0,67,m0,6,m1,21,m2,122,m3,23
0	s0,214,m0,9,m1,16
0	s0,91,m0,6,m1,12,m2,120,m3,10
0	s0,37,m0,23,m1,90,m2,89
0	s0,172,m0,9,m1,42,m2,16
0	s0,91,m0,33,m1,20,m2,95
0	s0,137,m0,10,m1,52,m2,40
0	s0,90,m0,2,m1,54,m2,86,s2,7
0	s0,239
0	s0,79,m0,5,m1,40,m2,115
0	s0,138,m0,41,m1,52,s1,8
0	s0,98,m0,8,m1,133
0	s0,239
0	s0,90,m0,55,m1,39,m2,55
0	s0,200,m0,39
0	s0,36,c0,8,c1,7,m1,56,m2,66,m3,66
0	s0,239
0	s0,58,c0,3,m0,5,m1,83,s1,90
0	s0,239
0	s0,57,m0,182
0	s0,78,m0,161
0	s0,73,m0,14,m1,152
0	s0,68,m0,8,m1,56,m2,107
0	s0,77,c0,7,c2,2,m2,153
0	s0,142,m0,97
0	s0,55,m0,10,m1,42,m2,132
0	s0,35,m0,9,m1,13,m2,45,m3,50,m4,87
0	s0,81,m0,24,m1,134
0	s0,81,m0,2,m1,12,m2,43,m3,101
0	s0,56,m0,10,m1,173
0	s0,130,m0,36,m1,18,m2,49,m3,6
0	s0,69,m0,32,m1,16,m2,50,m3,72
0	s0,93,m0,5,m1,27,m2,71,m3,43
0	s0,126,m0,5,m1,108
0	s0,68,m0,3,m1,5,s1,68,m1,4,m2,91
0	s0,99,s1,5,m1,46,m2,89
0	s0,114,s1,17,s2,108
0	s0,51,c0,6,m0,4,m1,72,m2,106
0	s0,236,c0,1,m0,2
0	s0,116,m0,12,m1,111
0	s0,87,m0,11,m1,141
0	s0,99,s1,6,m1,12,m2,122
0	s0,35,m0,8,m1,103,m2,77,s2,16
0	s0,54,m0,9,m2,20,m3,156
0	s0,94,m0,2,m1,17,m2,126
0	s0,56,m0,6,m1,177
0	s0,104,s2,1,m2,45,m3,89
0	s0,97,c0,9,m0,11,m1,12,m2,110
0	s0,37,s1,32,m1,53,s1,29,m1,14,m2,60,m3,14
0	s0,110,s1,3,m1,7,m2,117,m3,2
0	s0,117,m0,13,m1,19,m2,44,m3,46
0	s0,91,c0,1,m0,10,m1,41,m2,96
0	s0,129,m0,110
0	s0,130,m0,18,m1,91
0	s0,67,m0,4,m1,17,m2,151
0	s0,91,m0,13,m1,43,m2,33,m3,59
0	s0,239
0	s0,110,m0,7,m1,31,m2,44,m3,47
0	s0,142,m0,5,m1,14,m2,78
0	s0,25,s1,19,s2,6,c2,48,m2,66,m3,75
0	s0,125,m0,56,m1,58
0	s0,74,m0,111,m1,54
0	s0,43,m0,14,m1,29,m2,30,m3,123
0	s0,74,m0,12,m1,24,m2,120,m3,9
0	s0,38,m0,3,m1,10,m2,20,s2,5,s3,163
0	s0,146,c1,1,m1,19,m2,73
0	s0,100,m0,3,m1,60,m2,76
0	s0,145,c0,11,c1,23,c2,60
0	s0,141,m0,52,m1,41,s1,5
0	s0,239
0	s0,64,m0,8,m1,20,m2,44,m3,103
0	s0,191,m0,9,m1,39
0	s0,71,s1,168
0	s0,68,m0,17,m1,38,m2,25,m3,91
0	s0,102,m0,26,m1,19,m2,92
0	s0,85,c0,16,c1,29,c2,109
0	s0,109,m0,5,m1,47,m2,78
