group	code
0	s0,101,m1,23,m2,29,m3,86
0	s0,116,m0,14,m1,59,m2,50
0	s0,102,m0,137
0	s0,81,m0,11,m1,90,m2,57
0	s0,73,m0,17,m1,70,m2,79
0	s0,22,m0,17,m1,13,m2,16,m3,171
0	s0,239
0	s0,45,c0,36,m0,48,m1,19,m2,28,m3,63
0	s0,89,m0,58,m1,13,m2,79
0	s0,19,m0,21,m1,15,m2,24,m3,160
0	s0,159,m0,78,m1,2
0	s0,49,c0,37,c1,25,c2,82,c3,31,c4,15
0	s0,101,c0,8,c1,3,m1,10,m2,117
0	s0,113,m0,5,m1,15,m2,13,m3,38,m4,55
0	s0,73,m0,48,m1,112,s1,6
0	s0,80,m0,16,m1,143
0	s0,114,m0,10,m1,16,m2,99
0	s0,49,m0,16,m1,120,m2,54
0	s0,43,m0,48,m1,70,m2,78
0	s0,77,m0,36,m1,23,m2,103
0	s0,95,m0,31,m1,20,m2,93
0	s0,183,c0,56
0	s0,46,c0,4,m0,22,m1,38,m2,129
0	s0,59,m0,6,m1,34,m2,88,m3,52
0	s0,43,m0,196
0	s0,129,m0,12,m1,15,m2,21,m3,14,m4,48
0	s0,41,m0,37,m1,57,m2,104
0	s0,239
0	s0,55,m0,10,m1,19,m2,155
0	s0,211,m0,15,m1,13
0	s0,69,m0,170
0	s0,68,s1,3,m1,168
0	s0,83,c0,30,c1,5,m1,121
0	s0,239
0	s0,239
0	s0,41,m0,16,m1,58,m2,124
0	s0,154,m0,21,m1,64
0	s0,9,m0,66,m1,19,m2,145
0	s0,25,c0,3,m0,14,m1,56,m2,10,m3,131
0	s0,239
0	s0,54,m0,12,m1,40,m2,133
0	s0,25,c0,2,m0,212
0	s0,38,m0,51,m1,49,m2,101
0	s0,54,m0,6,m1,24,m2,155
0	s0,103,m0,10,m1,13,m2,14,m3,99
0	s0,82,m0,11,m1,146
0	s0,77,m0,16,m1,93,m2,53
0	s0,24,m0,20,m1,61,m2,65,m3,69
0	s0,80,m0,159
0	s0,78,m0,11,m1,20,m2,99,s2,31
0	s0,86,m0,98,s0,55
0	s0,51,c0,60,m0,128
0	s0,98,m0,6,m1,34,m2,86,m3,15
0	s0,136,m0,12,m1,11,m2,43,m3,37
0	s0,54,m0,185
0	s0,26,m0,80,m1,84,m2,49
0	s0,55,c0,20,c1,80,m1,84
0	s0,123,m0,16,m1,98,m2,2
0	s0,54,m0,8,m1,38,m2,30,m3,60,m4,49
0	s0,52,c0,1,m0,10,m1,137,s1,39
0	s0,43,m0,57,m1,34,m2,32,m3,73
0	s0,69,m0,170
0	s0,41,m0,198
0	s0,93,m0,36,m1,49,m2,61
0	s0,89,m0,13,m1,137
0	s0,48,c0,17,c1,24,c2,13,m2,137
0	s0,12,m0,21,m1,102,m2,18,m3,86
0	s0,54,m1,185
0	s0,60,m0,10,m1,16,m2,68,m3,23,m4,62
0	s0,112,m0,9,m1,58,m2,60
0	s0,76,m0,14,m1,149
0	s0,110,m0,17,m1,47,m2,65
0	s0,239
0	s0,239
0	s0,127,c0,1,m0,9,m1,15,m2,87
0	s0,11,m0,8,m1,12,m2,208
0	s0,90,m0,13,m1,27,m2,77,m3,21,m4,11
0	s0,239
0	s0,44,m0,8,m1,181,m2,6
0	s0,52,m0,26,m1,59,m2,102
0	s0,239
0	s0,100,c0,1,m0,101,m1,37
0	s0,165,m0,74
0	s0,114,m0,102,m1,23
0	s0,135,c0,4,m0,33,m1,67
0	s0,116,m0,25,m1,98
0	s0,109,s1,16,m1,111,m2,3
0	s0,101,m0,138
0	s0,43,m1,104,m2,92
0	s0,29,m0,13,m1,50,m2,17,m3,29,m4,101
0	s0,104,m0,21,m1,49,m2,65
0	s0,100,m0,12,m1,66,m2,61
0	s0,108,c0,9,m0,37,m1,71,s1,14
0	s0,41,m0,14,m1,27,m2,97,s2,60
0	s0,91,m0,51,m2,20,m3,77
0	s0,114,m0,125
0	s0,55,m0,6,m1,28,m2,47,m3,12,m4,91
0	s0,147,m0,14,m1,36,m2,24,s2,18
0	s0,37,m0,22,m1,19,m2,92,m3,69
0	s0,77,m0,162
0	s0,134,m0,57,s0,48
0	s0,93,m0,12,m1,134
0	s0,43,m0,59,m1,64,m2,73
0	s0,54,m0,45,m1,40,s1,18,c1,82
0	s0,14,m0,45,m1,180
0	s0,140,m0,99
0	s0,35,s1,21,s2,183
0	s0,55,m0,85,m1,99
0	s0,3,m0,23,m1,71,m2,142
0	s0,29,m0,3,m1,14,m2,31,m3,74,m4,88
0	s0,94,s1,29,s2,116
0	s0,76,s1,5,m1,158
0	s0,22,m0,21,m1,196
0	s0,67,m0,10,m1,162
0	s0,111,m0,16,m1,90,m2,22
0	s0,222,m0,15,m1,2
0	s0,117,m0,115,s0,7
0	s0,239
0	s0,68,c0,22,c1,37,m2,112
0	s0,77,m0,21,m1,60,m2,81
0	s0,163,m0,27,m1,49
0	s0,108,m0,15,m1,91,s1,25
0	s0,11,c0,9,m0,32,m1,35,m2,152
0	s0,137,c0,9,m0,14,m1,15,m2,64
0	s0,122,m0,15,m1,102
0	s0,199,s1,13,s2,16,s3,11
0	s0,92,s1,17,s2,75,m2,55
0	s0,57,m0,24,m1,24,m2,42,m3,49,m4,43
