"grp"	"day"
"11"	"ho,150,oo,30,ww,180,wo,59,ww,1,wo,60,ww,266,oo,29,ho,50,hw,135,ho,480"
"11"	"ho,190,oo,110,ww,150,wo,90,ww,225,oo,15,ho,80,oo,220,ho,360"
"11"	"ho,150,hw,45,ho,145,hw,140,oo,30,ho,930"
"11"	"ho,120,oo,39,ho,191,hw,270,oo,130,ho,60,oo,5,ho,625"
"11"	"ho,180,ww,300,wo,15,oo,115,ww,140,oo,32,ho,658"
"11"	"ho,300,hw,450,oo,25,ho,665"
"11"	"ho,210,oo,30,ww,540,oo,103,ho,557"
"11"	"ho,60,oo,60,ho,105,oo,15,ww,270,oo,10,wo,20,ww,360,oo,30,ho,510"
"11"	"ho,120,oo,75,ww,585,oo,270,ho,390"
"11"	"ho,180,oo,155,ww,430,oo,55,ho,620"
"11"	"ho,180,oo,45,ww,195,wo,24,ww,66,wo,30,ww,195,oo,50,ho,655"
"11"	"ho,240,oo,12,ww,93,wo,10,ww,465,wo,10,ww,10,oo,135,ho,465"
"11"	"ho,330,oo,20,ho,290,oo,50,ho,750"
"11"	"ho,257,oo,38,ww,250,oo,100,ow,75,oo,135,ho,105,oo,110,ho,370"
"11"	"ho,150,oo,5,ho,55,oo,100,ww,590,oo,190,ho,350"
"11"	"ho,121,oo,19,ho,60,oo,62,ww,158,oo,155,hw,145,ho,720"
"11"	"ho,190,oo,35,ww,225,wo,30,ww,30,wo,90,ww,225,oo,197,ho,418"
"11"	"ho,120,oo,85,ww,545,oo,30,ho,22,oo,63,ww,5,oo,116,ho,454"
"11"	"ho,60,oo,5,ww,415,wo,30,ww,210,oo,30,hw,60,ho,155,oo,35,ho,440"
"11"	"ho,302,oo,48,ww,100,wo,50,ww,350,ho,590"
"11"	"ho,115,oo,30,ww,545,oo,15,ho,15,hw,205,ho,80,hw,45,ho,390"
"11"	"ho,235,oo,95,ww,540,oo,300,ho,270"
"11"	"ho,120,oo,70,ho,80,oo,30,ww,360,oo,150,ho,630"
"11"	"ho,120,hw,15,ho,55,oo,19,ww,331,wo,30,ww,210,oo,26,ho,54,oo,95,ho,485"
"11"	"ho,165,oo,10,ww,210,wo,5,ww,480,oo,5,ho,565"
"11"	"ho,195,oo,75,ww,390,oo,16,ho,360,hw,48,ho,356"
"11"	"ho,35,oo,70,wo,15,ww,240,wo,15,ww,45,wo,60,ww,30,wo,60,ww,465,oo,90,ho,315"
"11"	"ho,180,oo,15,ww,225,oo,61,ho,76,hw,223,ho,135,hw,45,ho,480"
"11"	"ho,130,oo,45,wo,5,ww,600,oo,10,ho,650"
"11"	"ho,185,oo,10,ww,645,oo,125,ho,475"
"11"	"ho,130,oo,70,ww,280,oo,5,ho,25,hw,210,ho,420,oo,110,ho,190"
"11"	"ho,90,oo,50,ww,655,oo,45,ho,600"
"11"	"ho,360,hw,60,ho,30,oo,20,wo,40,oo,42,hw,198,ho,151,oo,104,ww,180,ho,255"
"11"	"ho,150,oo,50,ho,40,oo,15,ww,165,oo,30,ho,990"
"11"	"ho,475,hw,185,oo,205,ho,575"
"11"	"ho,200,oo,70,ww,210,wo,45,ww,45,wo,15,ww,135,oo,362,ho,358"
"11"	"ho,225,ww,75,wo,15,ww,105,oo,5,ww,295,oo,5,ww,85,oo,30,ho,600"
"11"	"ho,70,oo,85,ow,325,oo,30,ww,285,wo,2,oo,58,ho,585"
"11"	"ho,390,oo,115,ho,65,hw,90,ho,210,oo,262,ho,308"
"11"	"ho,195,oo,60,ww,75,wo,20,ww,30,wo,25,ww,105,oo,20,ww,10,wo,30,ww,170,oo,40,ho,33,oo,319,ho,308"
"11"	"ho,225,oo,30,ww,165,wo,20,ww,40,wo,15,ww,195,oo,130,ho,620"
"11"	"ho,225,oo,16,ww,479,oo,90,ho,30,oo,150,ho,16,hw,14,ho,420"
"11"	"ho,150,oo,63,ww,267,wo,60,ww,360,oo,123,ho,417"
"11"	"ho,300,oo,120,ww,60,oo,135,ww,150,oo,25,ho,650"
"11"	"ho,97,oo,53,wo,15,ww,495,oo,275,ho,505"
"11"	"ho,112,oo,33,wo,20,ww,660,oo,15,ho,35,oo,5,ho,560"
"11"	"ho,30,hw,270,ho,30,hw,81,ho,189,hw,240,oo,30,ho,40,ow,65,oo,106,ho,359"
"11"	"ho,480,hw,30,ho,130,hw,140,ho,660"
"11"	"ho,225,oo,5,ho,70,oo,30,ww,150,oo,45,ww,30,wo,15,ww,150,wo,15,ww,75,oo,132,ho,498"
"11"	"ho,100,oo,55,ho,275,oo,40,ho,155,oo,135,hw,20,ho,75,oo,45,ho,20,oo,40,ho,135,hw,25,ho,320"
"11"	"ho,260,oo,10,ww,5,oo,325,ho,23,oo,27,ho,100,oo,40,ho,650"
"11"	"ho,148,oo,17,ww,375,wo,60,ww,180,oo,5,ho,15,oo,65,ho,575"
"11"	"ho,90,oo,63,ww,327,wo,85,ww,5,oo,14,wo,16,ww,165,oo,132,ho,543"
"11"	"ho,20,oo,55,ww,825,wo,30,ww,330,oo,40,ho,140"
"11"	"ho,240,oo,150,ho,150,oo,15,ow,151,oo,44,ho,155,oo,85,ho,450"
"11"	"ho,360,hw,60,oo,89,ho,87,hw,184,ho,30,oo,30,ho,600"
"11"	"ho,135,oo,35,ow,360,oo,65,ho,845"
"11"	"ho,150,oo,5,wo,10,ww,495,wo,10,ww,50,oo,165,ho,555"
"11"	"ho,660,oo,45,ho,735"
"11"	"ho,200,oo,25,ww,585,oo,125,ho,505"
"11"	"ho,300,hw,217,ho,3,hw,185,ho,735"
"11"	"ho,210,oo,101,ww,469,oo,25,ho,90,oo,80,ho,70,hw,35,ho,360"
"11"	"ho,240,oo,40,ww,200,wo,60,ww,300,oo,5,ho,595"
"11"	"ho,90,hw,50,ho,130,oo,15,ho,5,oo,10,ww,210,wo,15,ww,145,oo,78,ho,52,oo,245,ho,25,hw,130,ho,240"
"11"	"ho,225,oo,25,wo,18,ww,182,oo,120,ww,180,oo,30,ww,15,oo,45,ww,60,oo,8,ho,202,hw,30,ho,300"
"11"	"ho,75,hw,135,oo,80,ho,10,oo,90,ww,60,wo,20,ww,310,oo,30,ho,35,oo,150,ho,445"
"11"	"ho,230,oo,6,wo,24,ww,550,oo,58,ho,572"
"11"	"ho,230,ww,250,oo,5,ow,105,oo,125,ho,725"
"11"	"ho,120,oo,120,ww,240,wo,7,ww,53,wo,30,ww,150,oo,50,ho,670"
"11"	"ho,210,oo,35,ww,115,wo,15,ww,480,oo,90,ho,495"
"11"	"ho,270,oo,30,ww,420,oo,90,hw,30,oo,165,ho,435"
"11"	"ho,382,oo,8,ww,210,oo,360,ho,480"
"11"	"ho,180,oo,75,ww,225,wo,60,ww,255,oo,120,ho,525"
"11"	"ho,150,oo,10,wo,20,ww,300,wo,30,ww,60,wo,30,ww,60,oo,25,hw,155,ho,100,hw,20,ho,480"
"11"	"ho,240,oo,45,ww,195,wo,90,ww,210,oo,20,ho,640"
"12"	"ho,220,oo,50,ww,420,oo,60,ww,30,oo,60,ho,30,oo,11,hw,36,ho,523"
"12"	"ho,150,oo,45,ww,250,wo,10,ww,25,wo,30,ww,210,oo,25,ho,65,oo,140,ho,490"
"12"	"ho,233,oo,29,ww,293,wo,15,ww,210,oo,55,ho,140,oo,10,ho,455"
"12"	"ho,231,oo,24,ww,165,wo,60,ww,180,wo,50,oo,292,ho,58,hw,190,ho,190"
"12"	"ho,165,oo,35,ww,145,wo,5,ww,190,oo,10,ho,261,oo,74,ww,15,oo,60,ho,480"
"12"	"ho,195,oo,20,ww,490,oo,35,ho,110,oo,35,ho,555"
"12"	"ho,242,oo,33,ww,205,ho,295,hw,192,ho,473"
"12"	"ho,260,oo,34,ww,96,wo,90,ww,120,ho,180,oo,105,ho,555"
"12"	"ho,165,oo,15,ww,345,wo,15,ww,420,oo,105,ho,375"
"12"	"ho,640,hw,20,ho,72,hw,78,ho,630"
"12"	"ho,210,oo,58,ww,227,oo,40,ww,560,oo,55,ho,290"
"12"	"ho,180,oo,45,ww,225,oo,146,ho,34,oo,210,ho,125,oo,25,ho,450"
"12"	"ho,150,oo,40,ho,35,oo,5,ww,50,wo,15,ww,215,wo,25,ww,245,oo,80,ww,460,wo,60,ww,60"
"12"	"ho,215,oo,10,ww,225,wo,60,ww,130,oo,75,ho,97,oo,288,ho,340"
"12"	"ho,105,oo,60,ww,485,oo,96,ho,74,hw,70,ho,550"
"12"	"ho,67,hw,83,ho,45,oo,285,ho,20,oo,150,ho,130,oo,87,ho,513,hw,60"
"12"	"ho,195,oo,45,ww,540,oo,103,ho,557"
"12"	"ho,130,oo,10,ww,100,wo,30,ww,210,oo,40,ho,20,oo,225,ho,40,oo,200,ho,435"
"12"	"ho,250,oo,20,ww,210,oo,365,ho,595"
"12"	"ho,285,oo,35,ho,170,oo,80,hw,30,ho,10,oo,32,ho,243,oo,34,ho,521"
"12"	"ho,60,hw,200,oo,40,ho,20,hw,70,ho,45,oo,30,ho,15,oo,45,ww,195,oo,20,ho,85,oo,85,ho,530"
"12"	"ho,110,oo,115,ww,215,wo,10,ww,90,wo,10,ww,80,wo,10,ww,50,oo,90,ho,30,oo,215,ho,415"
"12"	"ho,410,oo,140,hw,260,oo,15,ho,90,oo,25,ho,500"
"12"	"ho,180,hw,60,ho,120,oo,135,wo,15,ww,30,wo,60,ww,210,oo,150,ho,480"
"12"	"ho,80,oo,10,ho,60,oo,10,ww,515,oo,125,ho,320,oo,50,ow,90,ho,180"
"12"	"ho,235,oo,30,ww,65,wo,15,ww,45,wo,15,ww,315,wo,15,ww,105,oo,105,ho,167,oo,13,ho,315"
"12"	"ho,690,oo,225,ho,525"
"12"	"ho,165,oo,5,ww,250,wo,30,ww,30,oo,57,ho,3,hw,60,ho,160,oo,110,ho,15,oo,45,ho,510"
"12"	"ho,195,oo,20,ww,175,wo,15,ww,240,oo,105,hw,90,ho,60,oo,30,ho,115,hw,30,ho,365"
"12"	"ho,195,oo,35,wo,10,ww,180,wo,20,ww,70,wo,30,ww,120,oo,200,ho,580"
"12"	"ho,50,oo,5,ww,273,wo,22,ww,285,oo,125,ho,165,oo,65,ho,450"
"12"	"ho,165,ww,675,oo,175,ho,425"
"12"	"ho,180,oo,30,ww,330,wo,150,oo,20,ho,100,oo,80,ho,20,hw,60,ho,470"
"12"	"ho,285,oo,230,ww,295,oo,75,ww,165,oo,20,ho,370"
"12"	"ho,240,oo,271,ww,209,oo,60,ho,120,oo,143,ho,397"
"12"	"ho,300,oo,5,ho,25,oo,15,ww,195,wo,20,ww,250,oo,66,ho,564"
"12"	"ho,195,oo,60,ww,555,oo,165,ho,465"
"12"	"ho,171,oo,24,ww,220,wo,35,ww,45,wo,30,ww,275,oo,84,ho,1,oo,160,ho,395"
"12"	"ho,150,hw,210,ho,120,hw,300,ho,120,oo,105,ho,435"
