group	code
0	s0,102,c0,94,c1,5,m1,38
0	s0,85,c0,49,m0,15,m1,42,m2,48
0	s0,132,m0,6,s0,38,s1,50,s2,13
0	s0,58,c0,51,m0,35,m1,40,m2,55
0	s0,79,s1,61,c1,3,m1,27,m2,27,m3,42
0	s0,33,s1,3,m1,20,m2,52,s2,6,c2,12,s2,2,c2,7,m2,6,m3,56,m4,42
0	s0,124,m0,11,m1,26,m2,78
0	s0,111,c0,15,c1,55,c2,32,c3,26
0	s0,50,s1,57,c1,15,c2,17,m2,15,m3,85
0	s0,52,c0,16,s0,81,c0,16,m0,5,m1,26,m2,25,m3,18
0	s0,42,s1,25,m1,19,m2,153
0	s0,208,c0,9,c1,22
0	s0,51,c0,8,c1,39,m1,1,s1,4,s2,25,c2,20,c3,91
0	s0,66,c0,80,c1,1,m1,25,m2,67
0	s0,51,c0,33,c1,44,m1,10,m2,87,m3,14
0	s0,153,c0,36,c1,32,c2,18
0	s0,43,c0,6,c1,42,m1,5,m2,78,m3,65
0	s0,60,c0,20,m0,5,m1,22,m2,132
0	s0,94,c0,30,m0,13,m1,59,m2,43
0	s0,72,c0,12,s0,4,c0,5,m0,3,m1,109,m2,29,m3,5
0	s0,70,m0,4,m1,165
0	s0,78,c0,20,m0,32,m1,25,m2,51,m3,33
0	s0,101,m0,18,m1,32,m2,43,m3,45
0	s0,54,c0,14,m0,4,m1,22,m2,145
0	s0,70,c0,2,c1,41,m1,7,m2,119
0	s0,111,c0,21,c1,63,m1,10,m2,34
0	s0,27,s1,3,c1,2,m1,63,s1,136,s2,8
0	s0,239
0	s0,106,c0,21,s0,4,c0,31,c1,36,c2,25,c3,16
0	s0,70,m0,3,m1,60,s1,67,c1,39
0	s0,50,c0,32,c1,59,c2,98
0	s0,200,c0,39
0	s0,63,c0,11,c1,69,c2,96
0	s0,109,c0,90,c1,11,m1,25,m2,4
0	s0,63,c0,39,c1,137
0	s0,92,c0,147
0	s0,53,c0,4,m0,19,s0,16,c0,87,c1,60
0	s0,54,c0,19,c1,7,s1,49,m1,35,m2,75
0	s0,212,c0,27
0	s0,128,c0,5,c1,33,c2,50,c3,23
0	s0,239
0	s0,175,c0,9,s0,55
0	s0,46,c0,19,m0,100,m1,74
0	s0,83,c0,2,m0,23,m1,50,s1,6,s2,2,c2,12,m2,7,m3,54
0	s0,43,c0,72,m0,23,m1,101
0	s0,76,c0,93,c1,70
0	s0,239
0	s0,105,c0,2,c1,21,m1,21,m2,90
0	s0,47,c0,69,c1,38,c3,85
0	s0,56,s1,1,m1,39,m2,143
0	s0,90,c0,7,c1,31,m1,52,m2,59
0	s0,131,c0,22,c1,9,m1,18,m2,59
0	s0,183,c0,8,m0,34,m1,14
0	s0,57,c0,26,m0,32,m1,124
0	s0,183,c0,6,m0,9,m1,28,m2,13
0	s0,103,m0,73,m1,28,m2,35
0	s0,91,c0,2,m0,11,m1,30,m2,53,m3,52
0	s0,45,c0,43,m0,72,m1,66,m2,13
0	s0,81,c0,12,m0,32,m1,43,m2,39,m3,32
0	s0,44,c0,71,c1,19,s1,25,c1,1,c2,56,c3,4,s3,13,s4,2,c4,4
0	s0,178,c0,5,c1,14,m1,14,m2,28
0	s0,63,s1,33,m1,27,m2,87,s2,10,m2,13,m3,6
0	s0,161,c0,78
0	s0,45,s1,34,c1,6,c2,154
0	s0,13,c0,17,s0,33,s1,174,c1,2
0	s0,214,c0,20,s0,5
0	s0,129,c0,23,s0,14,c0,34,c1,39
0	s0,60,m0,31,m1,27,m2,121
0	s0,67,c0,14,s0,12,c0,8,m0,5,m1,45,m2,88
0	s0,61,s1,8,c1,4,c2,135,s2,31
0	s0,78,c0,13,c1,5,m1,17,m2,60,m3,66
0	s0,101,c0,72,m0,22,s0,44
0	s0,44,c0,8,m0,4,m1,23,m2,160
0	s0,123,s1,33,s2,7,m2,36,m3,40
0	s0,176,c0,28,c1,35
0	s0,79,c0,20,m0,7,m1,133
0	s0,44,s1,48,m1,11,m2,35,m3,92,m4,9
0	s0,95,c0,26,c1,37,c2,81
0	s0,99,c0,3,c1,23,m1,20,m2,94
0	s0,56,s1,91,c1,23,c2,36,c3,33
0	s0,57,c0,40,c1,24,c2,1,m2,54,m3,52,m4,11
0	s0,224,c0,15
0	s0,49,s1,5,c1,53,m1,7,m2,125
0	s0,35,c0,86,c1,61,c2,57
0	s0,71,c0,168
0	s0,86,s1,100,c1,23,m1,27,s1,3
0	s0,58,c0,54,s0,19,c0,40,s0,15,c0,37,c1,16
0	s0,81,c0,12,s0,29,c0,10,c1,34,m1,73
0	s0,67,c0,14,m0,13,m1,59,m2,86
0	s0,27,c0,76,m0,24,m1,84,m2,28
0	s0,239
0	s0,167,c0,12,m0,29,m1,31
0	s0,147,s1,92
0	s0,108,c0,12,m0,105,m1,14
0	s0,54,m0,5,m1,73,m2,42,m3,65
0	s0,86,c0,23,m0,114,m1,16
0	s0,183,s1,8,m1,32,m2,16
0	s0,56,c0,1,m0,37,m1,40,m2,47,m3,58
0	s0,13,c0,26,s0,54,c0,21,m0,89,m2,36
0	s0,239
0	s0,64,c0,22,m0,18,m1,60,m2,75
0	s0,144,c0,23,m0,5,m1,39,m2,28
0	s0,51,c0,188
0	s0,230,c0,9
0	s0,72,c0,9,s0,114,c0,38,m0,5,m2,1
0	s0,62,c0,10,m0,33,s0,6,c0,16,s0,29,c0,3,m0,7,m1,73
0	s0,79,c0,51,s0,26,c0,83
0	s0,88,c0,12,m0,6,m1,59,s1,50,m1,24
0	s0,77,m0,9,m1,19,m2,134
0	s0,59,c0,20,m0,14,m1,39,m2,107
0	s0,92,c0,22,c1,28,c2,90,m2,7
0	s0,239
0	s0,87,c0,51,c1,34,c2,67
0	s0,56,c0,61,c1,21,c2,101
0	s0,80,c0,56,s0,40,c0,22,c1,5,m1,21,m2,15
0	s0,60,c0,22,s0,20,c0,69,c1,8,m1,10,m2,50
0	s0,239
0	s0,65,c0,34,c1,135,s1,5
0	s0,87,c0,35,m0,42,m1,39,m2,36
0	s0,136,c0,2,c1,85,c2,16
0	s0,144,c0,30,m0,23,m1,42
0	s0,104,c0,11,m0,21,m1,26,m2,51,m3,26
0	s0,109,c0,17,m0,40,m1,53,m2,20
0	s0,39,c0,16,c1,1,m1,44,m2,35,m3,104
0	s0,95,c0,54,c1,3,m1,69,s1,18
0	s0,123,m0,23,m1,33,m2,60
0	s0,72,c0,5,m0,24,m1,27,m2,34,m3,77
0	s0,175,c0,26,m0,13,m1,15,m2,10
0	s0,52,c0,155,m0,18,m1,14
0	s0,96,c0,5,m0,14,m1,31,m2,75,m3,18
0	s0,49,c1,29,m1,25,m2,68,m3,68
0	s0,109,m0,2,m1,119,m2,9
0	s0,101,c0,47,m0,61,m1,30
0	s0,82,c0,24,c1,44,s1,89
0	s0,89,c0,8,c1,23,c2,119
0	s0,66,c0,2,s0,120,c0,15,c1,18,s1,18
0	s0,125,c0,3,m0,3,m1,42,m2,66
0	s0,171,m0,12,m1,56
0	s0,110,m0,7,m1,41,m2,74,m3,7
0	s0,102,s1,26,s2,44,s3,67
0	s0,81,c0,3,m0,49,m1,24,m2,63,m4,19
0	s0,51,m0,12,m1,23,m2,23,m3,16,m4,114
0	s0,60,c0,6,m0,40,m1,19,m2,111,m3,3
0	s0,75,c0,74,m0,85,m1,5
0	s0,41,c0,18,c1,5,s1,45,c1,17,m1,15,m2,98
0	s0,79,c0,107,s0,53
0	s0,197,c0,42
0	s0,92,c0,20,c1,5,m1,53,m2,18,m3,51
0	s0,67,c0,45,m0,36,m1,53,m2,38
0	s0,80,c0,27,c1,132
