group	code
0	s0,98,m0,81,m1,60
0	s0,71,m0,33,m1,19,m2,99,m3,17
0	s0,167,m0,35,m1,11,m2,10,m3,11,m4,5
0	s0,145,m0,32,s0,38,m0,1,m1,23
0	s0,105,c0,25,m0,109
0	s0,61,m0,12,m1,38,m2,128
0	s0,24,c0,17,s0,11,s1,64,s2,123
0	s0,71,c0,168
0	s0,239
0	s0,73,m0,39,m1,68,m2,59
0	s0,73,m0,26,m1,30,m2,110
0	s0,47,s1,2,c1,72,m1,118
0	s0,42,m0,5,m1,192
0	s0,239
0	s0,56,m0,1,m1,61,m2,27,m3,94
0	s0,139,c0,32,s0,68
0	s0,81,m0,77,m1,18,m2,63
0	s0,147,m0,27,m1,65
0	s0,239
0	s0,50,s1,12,m1,12,m2,27,m3,27,m4,111
0	s0,41,m0,10,m1,21,m2,20,m3,12,m4,57,s4,78
0	s0,153,m0,36,m1,34,m2,16
0	s0,239
0	s0,78,m0,116,m1,45
0	s0,239
0	s0,116,m0,55,m1,28,m2,40
0	s0,69,m0,31,m1,41,s1,12,c1,7,m1,79
0	s0,32,m0,10,m1,10,m2,25,m3,11,m4,151
0	s0,41,m0,14,m1,43,m2,141
0	s0,45,m0,3,m1,62,m2,26,m3,103
0	s0,185,m0,2,m1,32,m2,20
0	s0,50,m0,42,m1,18,m2,116,m3,13
0	s0,239
0	s0,99,m0,98,s0,42
0	s0,87,m0,11,m1,12,m2,129
0	s0,89,m0,43,m1,41,m2,66
0	s0,76,c0,35,m0,77,m1,51
0	s0,74,m0,49,m1,22,m2,94
0	s0,54,s1,4,m1,5,m2,25,m3,38,m4,113
0	s0,47,m0,62,s0,8,s1,25,s2,19,s3,78
0	s0,239
0	s0,74,m0,51,m1,53,m2,61
0	s0,174,m0,65
0	s0,111,m0,7,m1,13,m2,21,m3,86,s3,1
0	s0,170,s1,69
0	s0,178,s1,61
0	s0,65,c0,32,c1,1,m1,36,m2,57,s2,48
0	s0,139,m0,42,m1,25,m2,33
0	s0,37,m0,20,m1,31,m2,32,m3,119
0	s0,234,s1,5
0	s0,81,m0,158
0	s0,239
0	s0,78,m0,30,m1,21,m2,69,s2,41
0	s0,239
0	s0,122,m0,14,m1,103
0	s0,59,m0,49,m1,45,m2,86
0	s0,51,m0,3,m1,12,s1,6,m1,6,m2,161
0	s0,146,m0,35,m1,28,m2,30
0	s0,42,c0,18,c1,13,c2,41,m2,7,m3,118
0	s0,25,s1,16,m1,37,m2,23,m3,44,m4,9,s4,13,c4,5,s4,3,c4,22,m4,42
0	s0,80,m0,52,m1,14,m2,93
0	s0,39,m0,6,m1,18,s1,38,m1,12,m2,65,m3,61
0	s0,56,s1,20,c1,21,m1,6,m2,136
0	s0,73,m0,52,m1,34,m2,80
0	s0,187,c0,5,m0,47
0	s0,49,m0,3,m1,74,m2,113
0	s0,239
0	s0,46,c0,1,m0,8,m1,2,s1,32,c1,15,c2,60,m2,23,m3,52
0	s0,239
0	s0,77,m0,53,m1,21,m2,88
0	s0,239
0	s0,76,m0,21,s0,34,c0,6,m0,28,m1,18,m2,56
0	s0,87,m0,76,s0,22,s1,54
0	s0,67,s1,31,m1,3,m2,34,m3,104
0	s0,92,c0,12,m0,135
0	s0,90,c0,3,m0,146
0	s0,239
0	s0,69,m0,12,m1,107,m2,51
0	s0,131,m0,41,m1,23,m2,35,m3,9
0	s0,239
0	s0,73,m0,33,m1,25,m2,108
